,ability_upgrades,account_id,assists,deaths,denies,gold,gold_per_min,gold_spent,hero_damage,hero_healing,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,kills,last_hits,leaver_status,level,player_slot,tower_damage,xp_per_min
0,"[{u'level': 1, u'ability': 5154, u'time': 334}, {u'level': 2, u'ability': 5155, u'time': 466}, {u'level': 3, u'ability': 5156, u'time': 504}, {u'level': 4, u'ability': 5154, u'time': 567}, {u'level': 5, u'ability': 5154, u'time': 674}, {u'level': 6, u'ability': 5157, u'time': 739}, {u'level': 7, u'ability': 5154, u'time': 885}, {u'level': 8, u'ability': 5156, u'time': 978}, {u'level': 9, u'ability': 5155, u'time': 1045}, {u'level': 10, u'ability': 5155, u'time': 1181}, {u'level': 11, u'ability': 5157, u'time': 1251}, {u'level': 12, u'ability': 5156, u'time': 1506}, {u'level': 13, u'ability': 5156, u'time': 1710}, {u'level': 14, u'ability': 5155, u'time': 1857}, {u'level': 15, u'ability': 5002, u'time': 1913}, {u'level': 16, u'ability': 5157, u'time': 2025}, {u'level': 17, u'ability': 5002, u'time': 2061}, {u'level': 18, u'ability': 5002, u'time': 2190}, {u'level': 19, u'ability': 5002, u'time': 2315}, {u'level': 20, u'ability': 5002, u'time': 2682}, {u'level': 21, u'ability': 5002, u'time': 2739}, {u'level': 22, u'ability': 5002, u'time': 2739}]",182894658,7,6,21,2707,435,13905,13864,0,35,36,46,160,1,63,172,9,187,0,22,0,737,637
1,"[{u'level': 1, u'ability': 5495, u'time': 359}, {u'level': 2, u'ability': 5496, u'time': 481}, {u'level': 3, u'ability': 5494, u'time': 562}, {u'level': 4, u'ability': 5494, u'time': 727}, {u'level': 5, u'ability': 5494, u'time': 880}, {u'level': 6, u'ability': 5497, u'time': 1071}, {u'level': 7, u'ability': 5494, u'time': 1173}, {u'level': 8, u'ability': 5495, u'time': 1302}, {u'level': 9, u'ability': 5495, u'time': 1464}, {u'level': 10, u'ability': 5495, u'time': 1652}, {u'level': 11, u'ability': 5497, u'time': 1676}, {u'level': 12, u'ability': 5496, u'time': 1970}, {u'level': 13, u'ability': 5496, u'time': 1970}, {u'level': 14, u'ability': 5496, u'time': 2048}, {u'level': 15, u'ability': 5002, u'time': 2154}, {u'level': 16, u'ability': 5497, u'time': 2175}, {u'level': 17, u'ability': 5002, u'time': 2480}, {u'level': 18, u'ability': 5002, u'time': 2506}, {u'level': 19, u'ability': 5002, u'time': 2506}, {u'level': 20, u'ability': 5002, u'time': 2720}, {u'level': 21, u'ability': 5002, u'time': 2720}, {u'level': 22, u'ability': 5002, u'time': 2773}]",4294967295,3,9,2,391,395,14335,12252,0,93,152,63,11,160,142,7,9,124,0,22,1,557,642
2,"[{u'level': 1, u'ability': 5260, u'time': 444}, {u'level': 2, u'ability': 5261, u'time': 496}, {u'level': 3, u'ability': 5260, u'time': 521}, {u'level': 4, u'ability': 5259, u'time': 598}, {u'level': 5, u'ability': 5260, u'time': 692}, {u'level': 6, u'ability': 5262, u'time': 772}, {u'level': 7, u'ability': 5260, u'time': 842}, {u'level': 8, u'ability': 5261, u'time': 916}, {u'level': 9, u'ability': 5261, u'time': 1060}, {u'level': 10, u'ability': 5261, u'time': 1255}, {u'level': 11, u'ability': 5262, u'time': 1381}, {u'level': 12, u'ability': 5259, u'time': 1523}, {u'level': 13, u'ability': 5259, u'time': 1644}, {u'level': 14, u'ability': 5259, u'time': 1655}, {u'level': 15, u'ability': 5002, u'time': 1866}, {u'level': 16, u'ability': 5262, u'time': 1938}, {u'level': 17, u'ability': 5002, u'time': 2123}, {u'level': 18, u'ability': 5002, u'time': 2555}]",4294967295,6,8,11,249,355,12335,9911,0,56,98,63,135,34,88,0,4,171,0,18,2,264,459
3,"[{u'level': 1, u'ability': 5339, u'time': 408}, {u'level': 2, u'ability': 5340, u'time': 460}, {u'level': 3, u'ability': 5339, u'time': 514}, {u'level': 4, u'ability': 5340, u'time': 634}, {u'level': 5, u'ability': 5341, u'time': 744}, {u'level': 6, u'ability': 5342, u'time': 849}, {u'level': 7, u'ability': 5340, u'time': 985}, {u'level': 8, u'ability': 5340, u'time': 1074}, {u'level': 9, u'ability': 5339, u'time': 1188}, {u'level': 10, u'ability': 5339, u'time': 1314}, {u'level': 11, u'ability': 5342, u'time': 1553}, {u'level': 12, u'ability': 5341, u'time': 1918}, {u'level': 13, u'ability': 5341, u'time': 1926}, {u'level': 14, u'ability': 5341, u'time': 1976}, {u'level': 15, u'ability': 5002, u'time': 2176}, {u'level': 16, u'ability': 5342, u'time': 2330}, {u'level': 17, u'ability': 5002, u'time': 2579}]",4294967295,9,11,0,535,390,12210,8428,0,69,65,1,108,9,46,214,7,110,0,17,3,0,392
4,"[{u'level': 1, u'ability': 5263, u'time': 393}, {u'level': 2, u'ability': 5265, u'time': 517}, {u'level': 3, u'ability': 5263, u'time': 581}, {u'level': 4, u'ability': 5265, u'time': 690}, {u'level': 5, u'ability': 5263, u'time': 759}, {u'level': 6, u'ability': 5266, u'time': 921}, {u'level': 7, u'ability': 5263, u'time': 1026}, {u'level': 8, u'ability': 5264, u'time': 1187}, {u'level': 9, u'ability': 5264, u'time': 1518}, {u'level': 10, u'ability': 5264, u'time': 1931}, {u'level': 11, u'ability': 5266, u'time': 1958}, {u'level': 12, u'ability': 5264, u'time': 2257}, {u'level': 13, u'ability': 5265, u'time': 2542}]",4294967295,6,12,0,1238,177,2795,2367,1309,57,178,29,42,46,0,0,0,46,0,13,4,0,244
5,"[{u'level': 1, u'ability': 5550, u'time': 449}, {u'level': 2, u'ability': 5549, u'time': 474}, {u'level': 3, u'ability': 5549, u'time': 543}, {u'level': 4, u'ability': 5550, u'time': 633}, {u'level': 5, u'ability': 5549, u'time': 737}, {u'level': 6, u'ability': 5551, u'time': 826}, {u'level': 7, u'ability': 5549, u'time': 933}, {u'level': 8, u'ability': 5550, u'time': 1011}, {u'level': 9, u'ability': 5550, u'time': 1131}, {u'level': 10, u'ability': 5548, u'time': 1299}, {u'level': 11, u'ability': 5551, u'time': 1365}, {u'level': 12, u'ability': 5002, u'time': 1524}, {u'level': 13, u'ability': 5548, u'time': 1555}, {u'level': 14, u'ability': 5548, u'time': 1676}, {u'level': 15, u'ability': 5002, u'time': 1810}, {u'level': 16, u'ability': 5551, u'time': 2070}, {u'level': 17, u'ability': 5548, u'time': 2109}, {u'level': 18, u'ability': 5002, u'time': 2301}, {u'level': 19, u'ability': 5002, u'time': 2352}, {u'level': 20, u'ability': 5002, u'time': 2491}, {u'level': 21, u'ability': 5002, u'time': 2524}, {u'level': 22, u'ability': 5002, u'time': 2675}]",92775877,17,5,11,875,532,19945,13009,0,99,242,34,114,194,32,48,9,169,0,22,128,4000,632
6,"[{u'level': 1, u'ability': 5439, u'time': 390}, {u'level': 2, u'ability': 5438, u'time': 566}, {u'level': 3, u'ability': 5439, u'time': 823}, {u'level': 4, u'ability': 5438, u'time': 935}, {u'level': 5, u'ability': 5438, u'time': 1056}, {u'level': 6, u'ability': 5441, u'time': 1182}, {u'level': 7, u'ability': 5438, u'time': 1298}, {u'level': 8, u'ability': 5439, u'time': 1379}, {u'level': 9, u'ability': 5439, u'time': 1551}, {u'level': 10, u'ability': 5440, u'time': 1721}, {u'level': 11, u'ability': 5440, u'time': 1799}, {u'level': 12, u'ability': 5441, u'time': 2076}, {u'level': 13, u'ability': 5440, u'time': 2136}, {u'level': 14, u'ability': 5440, u'time': 2147}, {u'level': 15, u'ability': 5002, u'time': 2274}, {u'level': 16, u'ability': 5441, u'time': 2371}, {u'level': 17, u'ability': 5002, u'time': 2482}, {u'level': 18, u'ability': 5002, u'time': 2690}]",131959802,13,7,2,1590,279,9315,4233,0,84,181,40,102,180,100,42,1,30,0,18,129,957,424
7,"[{u'level': 1, u'ability': 5110, u'time': 459}, {u'level': 2, u'ability': 5111, u'time': 556}, {u'level': 3, u'ability': 5111, u'time': 629}, {u'level': 4, u'ability': 5112, u'time': 819}, {u'level': 5, u'ability': 5111, u'time': 1016}, {u'level': 6, u'ability': 5113, u'time': 1297}, {u'level': 7, u'ability': 5111, u'time': 1312}, {u'level': 8, u'ability': 5112, u'time': 1412}, {u'level': 9, u'ability': 5112, u'time': 1562}, {u'level': 10, u'ability': 5112, u'time': 1801}, {u'level': 11, u'ability': 5113, u'time': 1890}, {u'level': 12, u'ability': 5002, u'time': 2069}, {u'level': 13, u'ability': 5110, u'time': 2222}, {u'level': 14, u'ability': 5110, u'time': 2358}, {u'level': 15, u'ability': 5110, u'time': 2423}, {u'level': 16, u'ability': 5113, u'time': 2582}, {u'level': 17, u'ability': 5002, u'time': 2673}]",87846880,23,5,1,3257,320,8575,10796,0,22,178,0,214,37,100,77,1,71,0,17,130,838,385
8,"[{u'level': 1, u'ability': 5508, u'time': 319}, {u'level': 2, u'ability': 5510, u'time': 459}, {u'level': 3, u'ability': 5510, u'time': 521}, {u'level': 4, u'ability': 5511, u'time': 595}, {u'level': 5, u'ability': 5510, u'time': 682}, {u'level': 6, u'ability': 5511, u'time': 735}, {u'level': 7, u'ability': 5510, u'time': 813}, {u'level': 8, u'ability': 5512, u'time': 915}, {u'level': 9, u'ability': 5508, u'time': 1086}, {u'level': 10, u'ability': 5511, u'time': 1114}, {u'level': 11, u'ability': 5512, u'time': 1237}, {u'level': 12, u'ability': 5508, u'time': 1397}, {u'level': 13, u'ability': 5511, u'time': 1397}, {u'level': 14, u'ability': 5508, u'time': 1488}, {u'level': 15, u'ability': 5002, u'time': 1515}, {u'level': 16, u'ability': 5512, u'time': 1559}, {u'level': 17, u'ability': 5002, u'time': 1700}, {u'level': 18, u'ability': 5002, u'time': 1818}, {u'level': 19, u'ability': 5002, u'time': 1930}, {u'level': 20, u'ability': 5002, u'time': 2085}, {u'level': 21, u'ability': 5002, u'time': 2111}, {u'level': 22, u'ability': 5002, u'time': 2196}, {u'level': 23, u'ability': 5002, u'time': 2357}, {u'level': 24, u'ability': 5002, u'time': 2358}, {u'level': 25, u'ability': 5002, u'time': 2551}]",93376534,9,3,13,2459,775,28310,24957,0,95,154,116,1,48,156,160,22,311,0,25,131,5781,810
9,"[{u'level': 1, u'ability': 5040, u'time': 424}, {u'level': 2, u'ability': 5041, u'time': 463}, {u'level': 3, u'ability': 5040, u'time': 506}, {u'level': 4, u'ability': 5042, u'time': 588}, {u'level': 5, u'ability': 5040, u'time': 644}, {u'level': 6, u'ability': 5043, u'time': 689}, {u'level': 7, u'ability': 5040, u'time': 772}, {u'level': 8, u'ability': 5042, u'time': 796}, {u'level': 9, u'ability': 5042, u'time': 978}, {u'level': 10, u'ability': 5041, u'time': 1157}, {u'level': 11, u'ability': 5043, u'time': 1254}, {u'level': 12, u'ability': 5041, u'time': 1607}, {u'level': 13, u'ability': 5041, u'time': 1663}, {u'level': 14, u'ability': 5042, u'time': 2162}, {u'level': 15, u'ability': 5002, u'time': 2484}, {u'level': 16, u'ability': 5043, u'time': 2490}, {u'level': 17, u'ability': 5002, u'time': 2643}, {u'level': 18, u'ability': 5002, u'time': 2786}]",4294967295,5,10,9,2257,413,12195,14447,0,25,100,50,108,41,77,37,10,106,0,18,132,1269,450
